threshold,tpr,bkg_rej,metric,nsig_pass,nbkg_pass
412.7992858886719,0.0,0.0,-1.0,0,7463
414.1033420275204,0.0,0.000133994372236379,-0.9998660056277636,0,7462
415.407398166369,0.0,0.000133994372236379,-0.9998660056277636,0,7462
416.7114543052175,0.0,0.000267988744472758,-0.9997320112555272,0,7461
418.015510444066,0.0,0.000267988744472758,-0.9997320112555272,0,7461
419.31956658291455,0.0,0.000401983116709137,-0.9995980168832909,0,7460
420.6236227217631,0.0,0.000535977488945516,-0.9994640225110545,0,7459
421.92767886061165,0.0,0.000669971861181784,-0.9993300281388182,0,7458
423.2317349994602,0.0,0.000803966233418163,-0.9991960337665818,0,7457
424.53579113830875,0.0,0.001071954977890921,-0.9989280450221091,0,7455
425.8398472771573,0.0,0.0012059493501273,-0.9987940506498727,0,7454
427.1439034160058,0.0,0.001875921211309084,-0.9981240787886909,0,7449
428.4479595548544,0.0,0.002545893072490979,-0.997454106927509,0,7444
429.7520156937029,0.0,0.003885836794854658,-0.9961141632051453,0,7434
431.0560718325514,0.0,0.005225780517218226,-0.9947742194827818,0,7424
432.36012797139995,0.0,0.006833712984054663,-0.9931662870159453,0,7412
433.6641841102485,0.0,0.0084416454508911,-0.9915583545491089,0,7400
434.96824024909705,0.0,0.010451561034436563,-0.9895484389655634,0,7385
436.2722963879456,0.0,0.01313144847916392,-0.9868685515208361,0,7365
437.57635252679415,0.0,0.01661530215730944,-0.9833846978426906,0,7339
438.8804086656427,0.0,0.02023315020769123,-0.9797668497923088,0,7312
440.1844648044912,0.0,0.024788958863727673,-0.9752110411362723,0,7278
441.4885209433397,0.0,0.02880879003081871,-0.9711912099691813,0,7248
442.7925770821883,0.0,0.03376658180356429,-0.9662334181964357,0,7211
444.0966332210368,0.0,0.040064317298673435,-0.9599356827013266,0,7164
445.40068935988535,0.0,0.04676403591049172,-0.9532359640895083,0,7114
446.7047454987339,0.0,0.05399973201125552,-0.9460002679887445,0,7060
448.00880163758245,0.0,0.06203939434543748,-0.9379606056545625,0,7000
449.312857776431,0.0,0.06981106793514669,-0.9301889320648533,0,6942
450.6169139152795,0.0,0.07677877529143773,-0.9232212247085623,0,6890
451.9209700541281,0.0,0.08495243199785607,-0.9150475680021439,0,6829
453.2250261929766,0.0,0.09486801554334723,-0.9051319844566528,0,6755
454.5290823318251,0.0,0.10558756532225644,-0.8944124346777436,0,6675
455.8331384706737,0.0,0.11657510384563852,-0.8834248961543615,0,6593
457.1371946095222,0.0,0.12917057483585692,-0.8708294251641431,0,6499
458.44125074837075,0.0,0.1424360176872571,-0.8575639823127429,0,6400
459.7453068872193,0.0,0.1539595336995846,-0.8460404663004154,0,6314
461.04936302606785,0.0,0.17111081334583944,-0.8288891866541606,0,6186
462.3534191649164,0.0,0.18625217740854882,-0.8137478225914512,0,6073
463.6574753037649,0.0,0.2003215864933673,-0.7996784135066327,0,5968
464.9615314426135,0.0,0.21666889990620397,-0.783331100093796,0,5846
466.265587581462,0.0,0.23234624145785876,-0.7676537585421412,0,5729
467.5696437203105,0.0,0.2501674929652955,-0.7498325070347045,0,5596
468.8736998591591,0.0,0.2662468176336594,-0.7337531823663406,0,5476
470.1777559980076,0.0,0.2832641029076779,-0.7167358970923221,0,5349
471.48181213685615,0.0,0.30456920809326005,-0.69543079190674,0,5190
472.78586827570473,0.0,0.3258743132788423,-0.6741256867211577,0,5031
474.08992441455325,0.0,0.3444995310196972,-0.6555004689803028,0,4892
475.3939805534018,0.0,0.362722765643843,-0.637277234356157,0,4756
476.6980366922503,0.0,0.38215194961811605,-0.617848050381884,0,4611
478.0020928310989,0.0,0.39782929116977084,-0.6021707088302292,0,4494
479.3061489699474,0.0,0.41886640761088034,-0.5811335923891197,0,4337
480.6102051087959,0.0,0.43454374916253513,-0.5654562508374649,0,4220
481.9142612476445,0.0,0.4551788824869355,-0.5448211175130645,0,4066
483.218317386493,0.0,0.47407208897226316,-0.5259279110277368,0,3925
484.52237352534155,0.0,0.4930992898298271,-0.5069007101701729,0,3783
485.8264296641901,0.0,0.5150743668765911,-0.48492563312340886,0,3619
487.13048580303865,0.0,0.5351735227120461,-0.4648264772879539,0,3469
488.4345419418872,0.0,0.5539327348251373,-0.4460672651748627,0,3329
489.7385980807357,0.0,0.5714859975881013,-0.42851400241189874,0,3198
491.0426542195843,0.0,0.5899772209567198,-0.4100227790432802,0,3060
492.3467103584328,0.0,0.6092724105587566,-0.3907275894412434,0,2916
493.6507664972813,0.0,0.6266916789494841,-0.3733083210505159,0,2786
494.95482263612985,0.0,0.6434409754790299,-0.3565590245209701,0,2661
496.2588787749784,0.0,0.6587163339139757,-0.34128366608602434,0,2547
497.56293491382695,0.0,0.6765375854214123,-0.3234624145785877,0,2414
498.8669910526755,0.0,0.6930188932064854,-0.30698110679351465,0,2291
500.17104719152405,0.0,0.7081602572691947,-0.29183974273080526,0,2178
501.4751033303726,0.0,0.7246415650542677,-0.2753584349457323,0,2055
502.7791594692211,0.0,0.7375050247889589,-0.26249497521104115,0,1959
504.0832156080696,0.0,0.7513064451293046,-0.24869355487069544,0,1856
505.3872717469182,0.0,0.7647058823529411,-0.23529411764705888,0,1756
506.6913278857667,0.0,0.775961409620796,-0.22403859037920404,0,1672
507.9953840246153,0.0,0.7880209031220688,-0.21197909687793115,0,1582
509.2994401634638,0.0,0.7990084416454509,-0.20099155835454907,0,1500
510.60349630231235,0.0,0.8128098619857966,-0.18719013801420337,0,1397
511.9075524411609,0.0,0.8244673723703604,-0.17553262762963961,0,1310
513.2116085800094,0.0,0.8347849390325606,-0.16521506096743943,0,1233
514.5156647188579,0.0,0.8448345169502881,-0.1551654830497119,0,1158
515.8197208577066,0.0,0.8556880611014337,-0.1443119388985663,0,1077
