0.000,2.436
0.005,2.440
0.010,2.445
0.015,2.449
0.020,2.454
0.025,2.459
0.030,2.463
0.035,2.468
0.040,2.472
0.045,2.477
0.050,2.481
0.055,2.486
0.060,2.490
0.065,2.495
0.070,2.499
0.075,2.504
0.080,2.508
0.085,2.513
0.090,2.517
0.095,2.522
0.100,2.526
0.105,2.530
0.110,2.535
0.115,2.539
0.120,2.544
0.125,2.548
0.130,2.552
0.135,2.557
0.140,2.561
0.145,2.565
0.150,2.570
0.155,2.574
0.160,2.579
0.165,2.583
0.170,2.587
0.175,2.592
0.180,2.596
0.185,2.600
0.190,2.604
0.195,2.609
0.200,2.613
0.205,2.617
0.210,2.622
0.215,2.626
0.220,2.630
0.225,2.634
0.230,2.638
0.235,2.643
0.240,2.647
0.245,2.651
0.250,2.655
0.255,2.659
0.260,2.663
0.265,2.668
0.270,2.672
0.275,2.676
0.280,2.680
0.285,2.684
0.290,2.689
0.295,2.693
0.300,2.697
0.305,2.701
0.310,2.705
0.315,2.709
0.320,2.713
0.325,2.717
0.330,2.721
0.335,2.725
0.340,2.729
0.345,2.733
0.350,2.737
0.355,2.741
0.360,2.745
0.365,2.749
0.370,2.753
0.375,2.757
0.380,2.761
0.385,2.765
0.390,2.769
0.395,2.773
0.400,2.777
0.405,2.781
0.410,2.785
0.415,2.789
0.420,2.793
0.425,2.797
0.430,2.801
0.435,2.805
0.440,2.809
0.445,2.813
0.450,2.817
0.455,2.820
0.460,2.824
0.465,2.828
0.470,2.832
0.475,2.836
0.480,2.840
0.485,2.843
0.490,2.847
0.495,2.852
0.500,2.856
0.505,2.860
0.510,2.864
0.515,2.867
0.520,2.871
0.525,2.875
0.530,2.879
0.535,2.883
0.540,2.886
0.545,2.890
0.550,2.894
0.555,2.898
0.560,2.901
0.565,2.905
0.570,2.909
0.575,2.913
0.580,2.916
0.585,2.920
0.590,2.924
0.595,2.928
0.600,2.933
0.605,2.938
0.610,2.943
0.615,2.947
0.620,2.952
0.625,2.957
0.630,2.962
0.635,2.966
0.640,2.971
0.645,2.976
0.650,2.980
0.655,2.985
0.660,2.990
0.665,2.994
0.670,2.999
0.675,3.003
0.680,3.008
0.685,3.012
0.690,3.017
0.695,3.022
0.700,3.026
0.705,3.031
0.710,3.035
0.715,3.039
0.720,3.044
0.725,3.048
0.730,3.053
0.735,3.058
0.740,3.062
0.745,3.067
0.750,3.071
0.755,3.076
0.760,3.080
0.765,3.084
0.770,3.088
0.775,3.093
0.780,3.097
0.785,3.101
0.790,3.106
0.795,3.110
0.800,3.114
0.805,3.118
0.810,3.122
0.815,3.127
0.820,3.131
0.825,3.135
0.830,3.139
0.835,3.143
0.840,3.147
0.845,3.151
0.850,3.156
0.855,3.160
0.860,3.164
0.865,3.168
0.870,3.172
0.875,3.176
0.880,3.180
0.885,3.184
0.890,3.188
0.895,3.192
0.900,3.196
0.905,3.200
0.910,3.204
0.915,3.208
0.920,3.212
0.925,3.216
0.930,3.220
0.935,3.224
0.940,3.227
0.945,3.231
0.950,3.235
0.955,3.239
0.960,3.243
0.965,3.247
0.970,3.250
0.975,3.254
0.980,3.258
0.985,3.262
0.990,3.266
0.995,3.269
1.000,3.274
