threshold,tpr,bkg_rej,metric,nsig_pass,nbkg_pass
0.6385101079940796,0.0,0.0,-1.0,0,7469
0.6403266371195041,0.0,0.00013388673182490596,-0.9998661132681751,0,7468
0.6421431662449285,0.0,0.0002677734636497009,-0.9997322265363503,0,7467
0.643959695370353,0.0,0.0002677734636497009,-0.9997322265363503,0,7467
0.6457762244957775,0.0,0.0008033203909492137,-0.9991966796090508,0,7463
0.647592753621202,0.0,0.0010710938545990256,-0.998928906145401,0,7461
0.6494092827466265,0.0,0.0012049805864239316,-0.9987950194135761,0,7460
0.651225811872051,0.0,0.0014727540500736325,-0.9985272459499264,0,7458
0.6530423409974755,0.0,0.0016066407818985384,-0.9983933592181015,0,7457
0.6548588701229,0.0,0.0016066407818985384,-0.9983933592181015,0,7457
0.6566753992483244,0.0,0.0016066407818985384,-0.9983933592181015,0,7457
0.6584919283737489,0.0,0.0020083009773731453,-0.9979916990226269,0,7454
0.6603084574991734,0.0,0.0020083009773731453,-0.9979916990226269,0,7454
0.662124986624598,0.0,0.0021421877091980512,-0.997857812290802,0,7453
0.6639415157500224,0.0,0.002409961172847752,-0.9975900388271522,0,7451
0.6657580448754469,0.0,0.002409961172847752,-0.9975900388271522,0,7451
0.6675745740008714,0.0,0.002409961172847752,-0.9975900388271522,0,7451
0.6693911031262958,0.0,0.002409961172847752,-0.9975900388271522,0,7451
0.6712076322517203,0.0,0.002409961172847752,-0.9975900388271522,0,7451
0.6730241613771448,0.0,0.002409961172847752,-0.9975900388271522,0,7451
0.6748406905025693,0.0,0.002409961172847752,-0.9975900388271522,0,7451
0.6766572196279937,0.0,0.002409961172847752,-0.9975900388271522,0,7451
0.6784737487534183,0.0,0.002409961172847752,-0.9975900388271522,0,7451
0.6802902778788428,0.0,0.002409961172847752,-0.9975900388271522,0,7451
0.6821068070042673,0.0,0.002409961172847752,-0.9975900388271522,0,7451
0.6839233361296917,0.0,0.002677734636497564,-0.9973222653635024,0,7449
0.6857398652551162,0.0,0.002811621368322359,-0.9971883786316776,0,7448
0.6875563943805407,0.0,0.002945508100147265,-0.9970544918998527,0,7447
0.6893729235059652,0.0,0.002945508100147265,-0.9970544918998527,0,7447
0.6911894526313896,0.0,0.003213281563797077,-0.9967867184362029,0,7445
0.6930059817568142,0.0,0.0034810550274467777,-0.9965189449725532,0,7443
